[2026-02-26 10:47:57] Iniciando orchestrator com 1 streams...
[2026-02-26 10:47:57] Basic Auth habilitado via HLS_USER/HLS_PASS.
[2026-02-26 10:47:57] Ingest processes: 1
[2026-02-26 10:47:57] Worker processes: 1
[2026-02-26 10:47:57] Orchestrator rodando. CTRL+C para parar.
[2026-02-26 10:51:59] [HB] frames_in=544 frames_proc=25 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:04] [HB] frames_in=546 frames_proc=26 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:09] [HB] frames_in=562 frames_proc=26 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:14] [HB] frames_in=586 frames_proc=27 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:19] [HB] frames_in=610 frames_proc=28 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:24] [HB] frames_in=610 frames_proc=28 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:29] [HB] frames_in=628 frames_proc=29 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:34] [HB] frames_in=664 frames_proc=30 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:39] [HB] frames_in=682 frames_proc=31 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:44] [HB] frames_in=682 frames_proc=31 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:49] [HB] frames_in=700 frames_proc=32 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:54] [HB] frames_in=718 frames_proc=33 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:52:59] [HB] frames_in=718 frames_proc=33 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:04] [HB] frames_in=742 frames_proc=34 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:09] [HB] frames_in=760 frames_proc=35 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:14] [HB] frames_in=760 frames_proc=35 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:19] [HB] frames_in=784 frames_proc=36 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:24] [HB] frames_in=808 frames_proc=37 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:29] [HB] frames_in=808 frames_proc=37 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:34] [HB] frames_in=826 frames_proc=38 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:39] [HB] frames_in=850 frames_proc=39 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:44] [HB] frames_in=850 frames_proc=39 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:49] [HB] frames_in=874 frames_proc=40 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:54] [HB] frames_in=892 frames_proc=41 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:53:59] [HB] frames_in=892 frames_proc=41 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:04] [HB] frames_in=916 frames_proc=42 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:09] [HB] frames_in=940 frames_proc=43 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:14] [HB] frames_in=940 frames_proc=43 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:19] [HB] frames_in=958 frames_proc=44 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:24] [HB] frames_in=976 frames_proc=45 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:29] [HB] frames_in=1000 frames_proc=46 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:34] [HB] frames_in=1000 frames_proc=46 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:39] [HB] frames_in=1018 frames_proc=47 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:44] [HB] frames_in=1036 frames_proc=48 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:49] [HB] frames_in=1060 frames_proc=49 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:54] [HB] frames_in=1060 frames_proc=49 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:54:59] [HB] frames_in=1084 frames_proc=50 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:04] [HB] frames_in=1102 frames_proc=51 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:09] [HB] frames_in=1102 frames_proc=51 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:14] [HB] frames_in=1126 frames_proc=52 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:19] [HB] frames_in=1144 frames_proc=53 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:24] [HB] frames_in=1159 frames_proc=54 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:29] [HB] frames_in=1162 frames_proc=54 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:34] [HB] frames_in=1186 frames_proc=55 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:39] [HB] frames_in=1210 frames_proc=56 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:44] [HB] frames_in=1210 frames_proc=56 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:49] [HB] frames_in=1228 frames_proc=57 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:54] [HB] frames_in=1252 frames_proc=58 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:55:59] [HB] frames_in=1252 frames_proc=58 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:04] [HB] frames_in=1276 frames_proc=59 events_out=1 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:56:09] [HB] frames_in=1294 frames_proc=60 events_out=1 ingest_alive=1/1 worker_alive=1/1
